,BINF414,Data Mining,3,1,7,,,
,BINF415,Information Security,3,1,7,,,
,BINF416,Elective-III,3,1,7,,,
,BINF417,Elective-IV,3,1,7,,,
,BINF418,Java Programming Lab,3,1,7,,,
,BINF421,Industrial Training/Major Project work,3,1,8,,,
,CE-1102,ENVIRONMENTAL SCIENCE OB& IP.,1,1,1,,,
,MA-1101,MATHEMATICS-I,1,1,1,,,
,CH-1101,ENGINEERING CHEMISTRY,1,1,1,,,
,CE-1101,ENGINEERING MECHANICS,1,1,1,,,
,ME-1101,ELEMENTS OF MECHANICAL ENGINEERING,1,1,1,,,
,ME-1103,WORKSHOP,1,1,1,,,
,GE-1101,EAA-I-NSS,1,1,1,,,
,HS-1205,COMMUNICATIVE ENGLISH,1,1,2,,,
,MA-1202,MATHEMATICS-II,1,1,2,,,
,PH-1201,PHYSICS,1,1,2,,,
,EE-1201,BASIC ELECTRICAL ENGINEERING,1,1,2,,,
,IT-1201,FUNDAMENTAL OF INFORMATION TECHNOLOGY,1,1,2,,,
,ME-1202,ENGINEERING GRAPHICS,1,1,2,,,
,GE-1202,EAA-II ?NSS,1,1,2,,,
,EC-1303,MATHEMATICS-III,1,1,3,,,
,EC-1303,DIGITAL ELECTRONICS,1,1,3,,,
,CS-1301,OBJECT ORIENTED PROGRAMMING,1,1,3,,,
,MA-1304,NUMERICAL METHODS & COMPUTATIONAL TECHNIQUES,1,1,3,,,
,EC -1301,BASIC ELECTRONICS,1,1,3,,,
,GE-1303,EAA-III-NSS,1,1,3,,,
,MA-1405,DISCRETE MATHEMATICAL STRUCTURE & GRAPH THEORY,1,1,4,,,
,EC-1405,ANALOG ELECTRONICS,1,1,4,,,
,CS-1403,DATA STRUCTURES,1,1,4,,,
,CS-1402,COMPUTER ARCHITECTURE,1,1,4,,,
,CS-1405,SYSTEMS PROGRAMMING,1,1,4,,,
,CE-1401,ORGANIZATIONAL BEHAVIOUR& INDUSTRIAL PSYCHOLOGY,1,1,4,,,
,GE-1404,EAA-IV-NSS,1,1,4,,,
,EE-1511,MICROPROCESSOR & ITS APPLICATIONS,1,1,5,,,
,CS-1506,DESGN & ANALYSIS OF ALGORITHMS,1,1,5,,,
,CS-1529,INTRODUCTION TO JAVA PROGRAMMING LANGUAGE,1,1,5,,,
,CS-1509,DATABASE SYSTEMS,1,1,5,,,
,IT-1506,OPERATING SYSTEMS,1,1,5,,,
,CS-1513,COMPUTER NETWORKS,1,1,5,,,
,CS-1604,"OBJECTORIENTED ANALYSIS
& DESIGN",1,1,6,,,
,CS-1601,PRINCIPLES OF PROGRAMMING LANGUAGES,1,1,6,,,
,CS-1612,FORMAL LANGUAGES & AUTOMATA THEORY,1,1,6,,,
,HS-1606,INDUSTRIAL ECONOMICS & ACCOUNTANCY,1,1,6,,,
,IT-1614,SOFTWARE ENGINEERING,1,1,6,,,
,CS-1607,"WEB APPLICATIONS DESIGN
& DEVELOPMENT",1,1,6,,,
,CS-1616,COMPILER DESIGN,1,1,6,,,
,CS-1715,DISTRIBUTED COMPUTING,1,1,7,,,
,CS-1717,ARTIFICIAL INTELLIGENCE,1,1,7,,,
,XX-17XX,ELECTIVE-I,1,1,7,,,
,XX-17XX,ELECTIVE-I,1,1,7,,,
,XX-17XX,ELECTIVE-I,1,1,7,,,
,CS-1720,PROJECT-I,1,1,7,,,
,CS-1721,INDUSTRIAL TRAINING,1,1,7,,,
,CS-1822,DATA MINING,1,1,8,,,
,HS-1804,PERSONAL MANAGEMENT & INDUSTRIAL RELATION,1,1,8,,,
,IT-1805,INFORMATION SECURITY,1,1,8,,,
,XX-18XX,ELECTIVE-IV,1,1,8,,,
,XX-18XX,ELECTIVE-IV,1,1,8,,,
,XX-1XXX,ELECTIVE-IV,1,1,8,,,
,CS-1824,PROJECT ?II,1,1,8,,,
